Device: cuda
Loaded vocab (544 tokens) <- /content/visual-latex-decompiler/vocab.pkl
[FormulaDataset] 75275 samples from /content/visual-latex-decompiler/Data_Im2Latx/images_train
[FormulaDataset] 8370 samples from /content/visual-latex-decompiler/Data_Im2Latx/images_val
Model type: transformer
Parameters: 32,584,096
Looking for checkpoint: /content/visual-latex-decompiler/checkpoints/model_best_transformer.pt exists: True
  ep 9 step 400 loss=1.6178 tf=0.83
  ep 9 step 450 loss=1.6165 tf=0.83
  ep 9 step 500 loss=1.6163 tf=0.83
  ep 9 step 550 loss=1.6182 tf=0.83
  ep 9 step 600 loss=1.6425 tf=0.83
  ep 9 step 650 loss=1.6557 tf=0.83
  ep 9 step 700 loss=1.6608 tf=0.83
  ep 9 step 750 loss=1.6600 tf=0.83
  ep 9 step 800 loss=1.6610 tf=0.83
  ep 9 step 850 loss=1.6591 tf=0.83
  ep 9 step 900 loss=1.6570 tf=0.83
  ep 9 step 950 loss=1.6558 tf=0.83
  ep 9 step 1000 loss=1.6536 tf=0.83
  ep 9 step 1050 loss=1.6522 tf=0.83
  ep 9 step 1100 loss=1.6509 tf=0.83
  ep 9 step 1150 loss=1.6500 tf=0.83
  ep 9 step 1200 loss=1.6496 tf=0.83
  ep 9 step 1250 loss=1.6494 tf=0.83
  ep 9 step 1300 loss=1.6481 tf=0.83
  ep 9 step 1350 loss=1.6479 tf=0.83
  ep 9 step 1400 loss=1.6472 tf=0.83
  ep 9 step 1450 loss=1.6466 tf=0.83
  ep 9 step 1500 loss=1.6460 tf=0.83
  ep 9 step 1550 loss=1.6451 tf=0.83
  ep 9 step 1600 loss=1.6444 tf=0.83
  ep 9 step 1650 loss=1.6434 tf=0.83
  ep 9 step 1700 loss=1.6432 tf=0.83
  ep 9 step 1750 loss=1.6427 tf=0.83
  ep 9 step 1800 loss=1.6424 tf=0.83
  ep 9 step 1850 loss=1.6417 tf=0.83
  ep 9 step 1900 loss=1.6412 tf=0.83
  ep 9 step 1950 loss=1.6411 tf=0.83
  ep 9 step 2000 loss=1.6407 tf=0.83
  ep 9 step 2050 loss=1.6400 tf=0.83
  ep 9 step 2100 loss=1.6403 tf=0.83
  ep 9 step 2150 loss=1.6403 tf=0.83
  ep 9 step 2200 loss=1.6413 tf=0.83
  ep 9 step 2250 loss=1.6415 tf=0.83
  ep 9 step 2300 loss=1.6417 tf=0.83
  ep 9 step 2350 loss=1.6417 tf=0.83
Epoch 9/20 tl=1.6416 vl=1.5707 BLEU=0.0651 ED=0.7675 lr=0.001000 1056s
